央视,#genre#
CCTV-1综合,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2财经,http://39.134.65.175/PLTV/88888888/224/3221225599/1.m3u8
CCTV-3综艺,http://39.134.65.175/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4中文国际,http://39.134.65.175/PLTV/88888888/224/3221225797/1.m3u8
CCTV-5体育,http://39.134.65.175/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5+体育赛事,http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8
CCTV-6电影,http://39.134.65.175/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7国防军事,http://39.134.65.175/PLTV/88888888/224/3221225671/1.m3u8
CCTV-8电视剧,http://39.134.65.175/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9纪录,http://39.134.65.175/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10科教,http://39.134.65.175/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11戏曲,http://39.134.65.175/PLTV/88888888/224/3221225517/1.m3u8
CCTV-12社会与法,http://39.134.65.175/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13新闻,http://39.134.65.175/PLTV/88888888/224/3221225812/1.m3u8
CCTV-14少儿,http://39.134.65.175/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15音乐,http://39.134.65.175/PLTV/88888888/224/3221225513/1.m3u8
CCTV-16奥林匹克,http://39.134.65.173/PLTV/88888888/224/3221225893/1.m3u8
CCTV-17农业农村,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

广东,#genre#
广东民生,http://mzitv.cn:32/tsfile/live/1009_1.m3u8
广东民生,http://183.11.239.36:808/hls/18/index.m3u8
广东民生,http://121.33.239.242:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
广东民生,http://222.128.55.152:9080/live/gdms.m3u8
广东民生,http://119.32.12.32:2901/udp/224.1.100.4:11111
广东民生,http://14.112.86.85:4022/udp/239.77.0.225:5146
广东民生,http://14.19.151.0:9900/udp/239.77.0.225:5146

分类,#genre#
节目名一,url
节目名二,url

中天新闻,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477695.m3u8
中天新闻,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489006.m3u8


